#      k [h/Mpc]           P_cdm          P_vcdm           P_bar          P_vbar         P_total        P_vtotal
     1.15572e-05      2.9733e-05     2.94626e-05      2.9733e-05     2.94626e-05     2.97875e-05     2.94626e-05
     1.20289e-05     3.09036e-05     3.06226e-05     3.09036e-05     3.06226e-05     3.09603e-05     3.06226e-05
     1.25199e-05     3.21204e-05     3.18283e-05     3.21204e-05     3.18283e-05     3.21793e-05     3.18283e-05
     1.30309e-05      3.3385e-05     3.30815e-05      3.3385e-05     3.30815e-05     3.34463e-05     3.30815e-05
     1.35628e-05     3.46995e-05      3.4384e-05     3.46995e-05      3.4384e-05     3.47632e-05      3.4384e-05
     1.41164e-05     3.60657e-05     3.57377e-05     3.60657e-05     3.57377e-05     3.61319e-05     3.57377e-05
     1.46925e-05     3.74857e-05     3.71448e-05     3.74857e-05     3.71448e-05     3.75545e-05     3.71448e-05
     1.52922e-05     3.89616e-05     3.86073e-05     3.89616e-05     3.86073e-05     3.90331e-05     3.86073e-05
     1.59164e-05     4.04956e-05     4.01274e-05     4.04956e-05     4.01274e-05     4.05699e-05     4.01274e-05
     1.65661e-05       4.209e-05     4.17073e-05       4.209e-05     4.17073e-05     4.21673e-05     4.17073e-05
     1.72422e-05     4.37472e-05     4.33494e-05     4.37472e-05     4.33494e-05     4.38275e-05     4.33494e-05
      1.7946e-05     4.54696e-05     4.50562e-05     4.54696e-05     4.50562e-05     4.55531e-05     4.50562e-05
     1.86785e-05     4.72599e-05     4.68301e-05     4.72599e-05     4.68301e-05     4.73466e-05     4.68301e-05
     1.94409e-05     4.91206e-05      4.8674e-05     4.91206e-05      4.8674e-05     4.92108e-05      4.8674e-05
     2.02344e-05     5.10546e-05     5.05904e-05     5.10546e-05     5.05904e-05     5.11483e-05     5.05904e-05
     2.10603e-05     5.30648e-05     5.25822e-05     5.30648e-05     5.25822e-05     5.31622e-05     5.25822e-05
     2.19199e-05     5.51541e-05     5.46525e-05     5.51541e-05     5.46525e-05     5.52553e-05     5.46525e-05
     2.28146e-05     5.73256e-05     5.68043e-05     5.73256e-05     5.68043e-05     5.74308e-05     5.68043e-05
     2.37458e-05     5.95827e-05     5.90409e-05     5.95827e-05     5.90409e-05      5.9692e-05     5.90409e-05
      2.4715e-05     6.19286e-05     6.13655e-05     6.19286e-05     6.13655e-05     6.20422e-05     6.13655e-05
     2.57238e-05     6.43669e-05     6.37815e-05     6.43669e-05     6.37815e-05      6.4485e-05     6.37815e-05
     2.67737e-05     6.69011e-05     6.62925e-05     6.69011e-05     6.62925e-05     6.70239e-05     6.62925e-05
     2.78665e-05     6.95352e-05     6.89024e-05     6.95352e-05     6.89024e-05     6.96628e-05     6.89024e-05
     2.90039e-05      7.2273e-05     7.16151e-05      7.2273e-05     7.16151e-05     7.24056e-05     7.16151e-05
     3.01877e-05     7.51185e-05     7.44348e-05     7.51186e-05     7.44348e-05     7.52564e-05     7.44348e-05
     3.14199e-05     7.80762e-05     7.73655e-05     7.80761e-05     7.73655e-05     7.82195e-05     7.73655e-05
     3.27023e-05     8.11503e-05     8.04116e-05     8.11499e-05     8.04116e-05     8.12992e-05     8.04116e-05
     3.40371e-05     8.43453e-05     8.35776e-05     8.43446e-05     8.35776e-05     8.45001e-05     8.35776e-05
     3.54264e-05      8.7666e-05     8.68683e-05     8.76653e-05     8.68683e-05     8.78269e-05     8.68683e-05
     3.68724e-05     9.11172e-05     9.02885e-05      9.1117e-05     9.02885e-05     9.12845e-05     9.02885e-05
     3.83774e-05     9.47045e-05     9.38434e-05     9.47045e-05     9.38434e-05     9.48783e-05     9.38434e-05
     3.99438e-05     9.84332e-05     9.75382e-05     9.84333e-05     9.75382e-05     9.86139e-05     9.75382e-05
     4.15742e-05     0.000102309     0.000101379     0.000102309     0.000101379     0.000102497     0.000101379
     4.32711e-05     0.000106337      0.00010537     0.000106337      0.00010537     0.000106532      0.00010537
     4.50372e-05     0.000110524     0.000109519     0.000110524     0.000109519     0.000110727     0.000109519
     4.68755e-05     0.000114875     0.000113831     0.000114875     0.000113831     0.000115086     0.000113831
     4.87888e-05     0.000119398     0.000118312     0.000119398     0.000118312     0.000119618     0.000118312
     5.07801e-05     0.000124099      0.00012297     0.000124099      0.00012297     0.000124327      0.00012297
     5.28528e-05     0.000128985     0.000127811     0.000128985     0.000127811     0.000129222     0.000127811
       5.501e-05     0.000134063     0.000132844     0.000134063     0.000132844     0.000134309     0.000132844
     5.72554e-05     0.000139341     0.000138074     0.000139341     0.000138074     0.000139597     0.000138074
     5.95923e-05     0.000144827      0.00014351     0.000144827      0.00014351     0.000145093      0.00014351
     6.20246e-05     0.000150529     0.000149161      0.00015053     0.000149161     0.000150806     0.000149161
     6.45563e-05     0.000156456     0.000155033     0.000156456     0.000155033     0.000156743     0.000155033
     6.71912e-05     0.000162616     0.000161136     0.000162615     0.000161136     0.000162914     0.000161136
     6.99337e-05     0.000169019      0.00016748     0.000169017      0.00016748     0.000169328      0.00016748
     7.27881e-05     0.000175673     0.000174075     0.000175672     0.000174075     0.000175994     0.000174075
     7.57591e-05     0.000182589     0.000180928     0.000182589     0.000180928     0.000182924     0.000180928
     7.88513e-05     0.000189777     0.000188052     0.000189777     0.000188052     0.000190126     0.000188052
     8.20697e-05     0.000197248     0.000195455     0.000197249     0.000195455     0.000197611     0.000195455
     8.54195e-05     0.000205014      0.00020315     0.000205014      0.00020315      0.00020539      0.00020315
      8.8906e-05     0.000213085     0.000211147     0.000213085     0.000211147     0.000213476     0.000211147
     9.25348e-05     0.000221474      0.00021946     0.000221474      0.00021946     0.000221881      0.00021946
     9.63117e-05     0.000230193       0.0002281     0.000230193       0.0002281     0.000230616       0.0002281
     0.000100243     0.000239256      0.00023708     0.000239256      0.00023708     0.000239695      0.00023708
     0.000104334     0.000248675     0.000246414     0.000248675     0.000246413     0.000249131     0.000246414
     0.000108593     0.000258465     0.000256115     0.000258464     0.000256113     0.000258938     0.000256115
     0.000113025      0.00026864     0.000266198     0.000268638     0.000266195     0.000269131     0.000266197
     0.000117639     0.000279216     0.000276677     0.000279213     0.000276675     0.000279726     0.000276677
      0.00012244     0.000290207     0.000287568     0.000290205     0.000287568     0.000290737     0.000287568
     0.000127438     0.000301632     0.000298888     0.000301629     0.000298889     0.000302182     0.000298888
     0.000132639     0.000313507     0.000310654     0.000313503     0.000310655     0.000314078     0.000310654
     0.000138053     0.000325849     0.000322883     0.000325844     0.000322883     0.000326442     0.000322883
     0.000143688     0.000338676     0.000335594      0.00033867     0.000335593     0.000339292     0.000335594
     0.000149553     0.000352006     0.000348805        0.000352     0.000348802     0.000352649     0.000348804
     0.000155657     0.000365861     0.000362535     0.000365855     0.000362531      0.00036653     0.000362534
      0.00016201     0.000380262     0.000376805     0.000380256     0.000376801     0.000380958     0.000376804
     0.000168623      0.00039523     0.000391636     0.000395224     0.000391633     0.000395952     0.000391636
     0.000175505     0.000410788      0.00040705      0.00041078     0.000407049     0.000411537      0.00040705
     0.000182669     0.000426957     0.000423071     0.000426947     0.000423071     0.000427734     0.000423071
     0.000190125     0.000443762     0.000439723      0.00044375     0.000439722     0.000444568     0.000439722
     0.000197885     0.000461228     0.000457029     0.000461213     0.000457027     0.000462064     0.000457029
     0.000205962      0.00047938     0.000475017     0.000479364     0.000475013     0.000480248     0.000475016
     0.000214368     0.000498245     0.000493712     0.000498231     0.000493707     0.000499147     0.000493711
     0.000223118     0.000517851     0.000513141     0.000517838     0.000513137     0.000518789     0.000513141
     0.000232225     0.000538229     0.000533335     0.000538214      0.00053333     0.000539203     0.000533334
     0.000241704     0.000559409     0.000554322     0.000559389     0.000554315      0.00056042     0.000554321
     0.000251569     0.000581423     0.000576135     0.000581398     0.000576125      0.00058247     0.000576133
     0.000261837     0.000604302     0.000598803     0.000604273     0.000598792     0.000605385     0.000598801
     0.000272524     0.000628079     0.000622362     0.000628048     0.000622351     0.000629201      0.00062236
     0.000283648     0.000652788     0.000646845     0.000652754     0.000646836     0.000653953     0.000646844
     0.000295225     0.000678467      0.00067229     0.000678429     0.000672283     0.000679678     0.000672289
     0.000307275     0.000705154     0.000698735     0.000705112     0.000698729     0.000706413     0.000698734
     0.000319817     0.000732892      0.00072622     0.000732843     0.000726212     0.000734195     0.000726219
     0.000332871     0.000761718     0.000754784     0.000761662     0.000754772     0.000763067     0.000754782
     0.000346458     0.000791675     0.000784468     0.000791611     0.000784452     0.000793071     0.000784465
     0.000360599     0.000822806     0.000815315     0.000822734     0.000815296     0.000824252     0.000815312
     0.000375317     0.000855158     0.000847372     0.000855077      0.00084735     0.000856655     0.000847369
     0.000390636     0.000888779     0.000880686     0.000888689      0.00088066     0.000890328     0.000880682
      0.00040658     0.000923717     0.000915306     0.000923617     0.000915276     0.000925321     0.000915301
     0.000423175     0.000960022     0.000951281     0.000959913     0.000951248     0.000961684     0.000951276
     0.000440448      0.00099775     0.000988665      0.00099763     0.000988631     0.000999469      0.00098866
     0.000458425      0.00103695      0.00102751      0.00103682      0.00102748      0.00103873      0.00102751
     0.000477137      0.00107769      0.00106787      0.00107754      0.00106784      0.00107953      0.00106787
     0.000496611      0.00112003      0.00110982      0.00111985      0.00110978      0.00112192      0.00110981
     0.000516881      0.00116401       0.0011534      0.00116381      0.00115335      0.00116597      0.00115339
     0.000537979      0.00120972      0.00119868      0.00120949      0.00119863      0.00121174      0.00119868
     0.000559937      0.00125721      0.00124574      0.00125695      0.00124567      0.00125929      0.00124573
     0.000582791      0.00130654      0.00129462      0.00130626      0.00129455      0.00130869      0.00129461
     0.000606579       0.0013578      0.00134541      0.00135749      0.00134533      0.00136001       0.0013454
     0.000631337      0.00141106      0.00139818       0.0014107      0.00139809      0.00141333      0.00139817
     0.000657106      0.00146639        0.001453      0.00146598       0.0014529      0.00146872      0.00145298
     0.000683927      0.00152387      0.00150995      0.00152341      0.00150984      0.00152626      0.00150993
     0.000711842      0.00158358      0.00156911      0.00158306      0.00156899      0.00158603      0.00156909
     0.000740897       0.0016456      0.00163056      0.00164502      0.00163042      0.00164811      0.00163054
     0.000771137      0.00171002      0.00169439      0.00170937      0.00169423      0.00171259      0.00169437
     0.000802612      0.00177694      0.00176069       0.0017762      0.00176051      0.00177955      0.00176066
     0.000835372      0.00184645      0.00182955      0.00184561      0.00182934       0.0018491      0.00182952
     0.000869469      0.00191862      0.00190106      0.00191768      0.00190082      0.00192132      0.00190102
     0.000904957      0.00199358      0.00197531      0.00199252      0.00197505      0.00199631      0.00197527
     0.000941894      0.00207141      0.00205242      0.00207022      0.00205212      0.00207416      0.00205237
     0.000980339      0.00215222      0.00213247      0.00215089      0.00213214      0.00215498      0.00213242
      0.00102035      0.00223612      0.00221559      0.00223462      0.00221522      0.00223889      0.00221553
        0.001062      0.00232322      0.00230187      0.00232152      0.00230146      0.00232599      0.00230181
      0.00110535      0.00241363      0.00239144      0.00241172      0.00239098      0.00241639      0.00239137
      0.00115046      0.00250747       0.0024844      0.00250533      0.00248388      0.00251019      0.00248432
      0.00119742      0.00260486      0.00258087      0.00260245      0.00258028      0.00260752      0.00258077
      0.00124629      0.00270592      0.00268096      0.00270321       0.0026803       0.0027085      0.00268086
      0.00129716      0.00281077      0.00278481      0.00280772      0.00278406      0.00281326      0.00278469
      0.00135011      0.00291953      0.00289253       0.0029161      0.00289169       0.0029219      0.00289239
      0.00140522      0.00303234      0.00300425      0.00302848      0.00300331      0.00303454      0.00300411
      0.00146257      0.00314933      0.00312011      0.00314499      0.00311904      0.00315133      0.00311994
      0.00152227      0.00327063      0.00324023      0.00326574      0.00323902      0.00327239      0.00324004
       0.0015844      0.00339637      0.00336474      0.00339086      0.00336338      0.00339785      0.00336452
      0.00164907       0.0035267      0.00349377      0.00352049      0.00349225      0.00352784      0.00349353
      0.00171638      0.00366173      0.00362746      0.00365474      0.00362575      0.00366248      0.00362719
      0.00178644      0.00380161      0.00376595      0.00379375      0.00376402      0.00380189      0.00376564
      0.00185935      0.00394647      0.00390935      0.00393764      0.00390718       0.0039462      0.00390901
      0.00193524      0.00409644      0.00405779      0.00408653      0.00405534      0.00409555       0.0040574
      0.00201423      0.00425167      0.00421141      0.00424052      0.00420865      0.00425004      0.00421097
      0.00209645      0.00441228      0.00437032      0.00439973      0.00436723       0.0044098      0.00436983
      0.00218202      0.00457839      0.00453465      0.00456425      0.00453119      0.00457494      0.00453411
      0.00227108      0.00475011      0.00470451      0.00473421      0.00470062      0.00474558       0.0047039
      0.00236378      0.00492755      0.00488001      0.00490968      0.00487562      0.00492181      0.00487932
      0.00246026      0.00511083      0.00506123      0.00509076      0.00505631      0.00510372      0.00506046
      0.00256067      0.00530007      0.00524828       0.0052775      0.00524278      0.00529138      0.00524742
      0.00266519      0.00549533      0.00544123      0.00546997      0.00543507      0.00548487      0.00544026
      0.00277397      0.00569667      0.00564014      0.00566819      0.00563324      0.00568423      0.00563906
       0.0028872      0.00590416      0.00584507      0.00587219      0.00583732       0.0058895      0.00584385
      0.00300504      0.00611785      0.00605604      0.00608197      0.00604733      0.00610072      0.00605467
       0.0031277       0.0063378      0.00627307      0.00629751      0.00626329      0.00631789      0.00627153
      0.00325536        0.006564      0.00649614      0.00651874      0.00648517        0.006541      0.00649441
      0.00338823      0.00679642       0.0067252      0.00674559      0.00671294      0.00677001      0.00672327
      0.00352653      0.00703503      0.00696021      0.00697796       0.0069465      0.00700485      0.00695805
      0.00367047      0.00727976      0.00720107      0.00721572      0.00718572      0.00724542      0.00719865
      0.00382028      0.00753051      0.00744765      0.00745869      0.00743044      0.00749157      0.00744494
      0.00397621      0.00778715      0.00769977      0.00770664      0.00768049      0.00774318      0.00769674
       0.0041385      0.00804951      0.00795721      0.00795927      0.00793564      0.00800007      0.00795382
